date,ret_pct,kp_chain,la_chain,kp_panchang,la_panchang
2022-11-11,0.423,0.0,0.0,2.5,2.5
2022-11-14,-0.257,-0.147,-0.147,2.5,2.5
2022-11-15,0.221,0.12,0.12,2.5,2.5
2022-11-16,0.062,0.44,0.44,2.5,2.5
2022-11-17,-0.081,-0.34,-0.34,2.5,2.5
2022-11-18,-0.41,0.28,0.28,-0.5,-0.5
2022-11-21,-0.474,0.0,0.0,2.5,2.5
2022-11-22,0.358,0.34,0.34,2.5,2.5
2022-11-23,-0.316,-0.72,-0.72,-1.5,-1.5
2022-11-24,0.862,0.055,0.055,-0.5,-0.5
2022-11-25,-0.085,0.5,0.5,2.5,2.5
2022-11-28,0.717,0.78,0.78,2.5,2.5
2022-11-29,0.354,0.5,0.5,1.5,1.5
2022-11-30,0.712,0.5,0.5,1.5,1.5
2022-12-01,-0.315,0.44,0.44,2.5,2.5
2022-12-02,-0.3,0.17,0.17,1.5,1.5
2022-12-05,-0.099,0.06,0.06,1.5,1.5
2022-12-06,0.226,-0.06,-0.06,2.5,2.5
2022-12-07,-0.42,0.56,0.56,0.5,0.5
2022-12-08,0.207,-1.0,-1.0,2.5,2.5
2022-12-09,-0.888,-0.16,-0.16,2.5,2.5
2022-12-12,0.516,0.06,0.06,0.5,0.5
2022-12-13,0.451,-0.44,-0.44,1.5,1.5
2022-12-14,-0.059,0.12,0.12,1.5,1.5
2022-12-15,-1.072,0.06,0.06,1.5,1.5
2022-12-16,-0.273,0.67,0.67,2.5,2.5
2022-12-19,0.724,0.12,0.12,1.5,1.5
2022-12-20,0.245,0.5,0.5,2.5,2.5
2022-12-21,-1.28,0.06,0.06,1.5,1.5
2022-12-22,-0.883,-0.12,0.0,-0.5,-0.5
2022-12-23,-0.95,-0.5,-0.5,-2.5,-2.5
2022-12-26,1.033,0.0,0.0,0.5,0.5
2022-12-27,0.235,0.5,0.5,2.5,2.5
2022-12-28,0.209,0.06,0.06,1.5,1.5
2022-12-29,0.805,0.72,0.72,1.5,1.5
2022-12-30,-0.842,0.72,0.72,2.5,2.5
2023-01-02,0.363,0.0,0.0,2.5,2.5
2023-01-03,0.382,0.06,0.06,2.5,2.5
2023-01-04,-1.03,0.5,0.5,2.5,2.5
2023-01-05,-0.607,-0.16,-0.16,0.5,0.5
2023-01-06,-0.825,-0.16,-0.16,2.5,2.5
2023-01-09,0.828,0.22,0.22,1.5,1.5
2023-01-10,-1.143,-0.72,-0.72,2.5,2.5
2023-01-11,-0.159,-0.34,-0.34,0.5,0.5
2023-01-12,-0.35,0.11,0.11,2.5,2.5
2023-01-13,0.499,0.0,0.0,2.5,2.5
2023-01-16,-0.767,0.06,0.06,-0.5,-0.5
2023-01-17,0.728,-0.22,-0.22,0.5,0.5
2023-01-18,0.504,-0.16,-0.16,2.5,2.5
