date,open,close,high,low
2015-09-30,17404.75,17216.30078125,17449.849609375,17100.19921875
2015-10-01,17362.94921875,17150.19921875,17390.599609375,17111.650390625
2015-10-05,17373.55078125,17674.05078125,17699.75,17362.69921875
2015-10-06,17822.69921875,17605.349609375,17827.150390625,17493.75
2015-10-07,17577.5,17616.80078125,17674.55078125,17500.349609375
2015-10-08,17622.849609375,17474.30078125,17622.849609375,17401.19921875
2015-10-09,17640.400390625,17590.25,17749.55078125,17498.44921875
2015-10-12,17642.599609375,17583.150390625,17759.80078125,17546.94921875
2015-10-13,17530.55078125,17554.849609375,17632.25,17473.69921875
2015-10-14,17453.0,17543.25,17598.099609375,17434.05078125
2015-10-15,17604.44921875,17686.099609375,17752.69921875,17582.849609375
2015-10-16,17701.5,17912.849609375,17947.75,17583.55078125
2015-10-19,17911.650390625,17855.05078125,17954.900390625,17817.94921875
2015-10-20,17843.650390625,17830.25,17940.400390625,17755.650390625
2015-10-21,17814.55078125,17710.55078125,17891.75,17565.349609375
2015-10-23,17859.75,17934.05078125,17980.5,17852.55078125
2015-10-26,18027.099609375,17815.05078125,18029.05078125,17798.650390625
2015-10-27,17738.44921875,17806.30078125,17855.349609375,17738.44921875
2015-10-28,17589.349609375,17373.150390625,17682.44921875,17281.400390625
2015-10-29,17388.400390625,17212.19921875,17400.19921875,17178.849609375
2015-10-30,17249.900390625,17354.5,17399.099609375,17170.349609375
2015-11-02,17351.44921875,17340.599609375,17372.25,17208.94921875
2015-11-03,17436.5,17325.599609375,17466.19921875,17265.05078125
2015-11-04,17449.0,17221.05078125,17449.0,17175.650390625
2015-11-05,17166.44921875,16995.099609375,17166.44921875,16957.349609375
2015-11-06,17003.0,17086.5,17143.599609375,16911.599609375
2015-11-09,16667.900390625,17003.0,17069.0,16587.25
2015-11-10,16895.19921875,16836.0,17047.30078125,16805.05078125
2015-11-13,16829.30078125,16932.849609375,16962.55078125,16741.80078125
2015-11-16,16881.650390625,17184.900390625,17230.5,16855.5
2015-11-17,17302.55078125,17140.44921875,17302.55078125,17028.19921875
2015-11-18,17108.900390625,16812.099609375,17186.69921875,16787.55078125
